Currency,Units per USD,USD per unit,Date
MXN,20.343,0.049,2022-05-03
PEN,3.819,0.262,2022-05-03
PHP,52.507,0.019,2022-05-03
PLN,4.453,0.225,2022-05-03
SGD,1.384,0.723,2022-05-03
NZD,1.553,0.644,2022-05-03
AUD,1.4,0.714,2022-05-04
CAD,1.282,0.78,2022-05-04
CHF,0.983,1.017,2022-05-04
CNY,6.608,0.151,2022-05-04
EUR,0.949,1.054,2022-05-04
GBP,0.801,1.249,2022-05-04
HKD,7.849,0.127,2022-05-04
INR,76.246,0.013,2022-05-04
MXN,20.231,0.049,2022-05-04
PEN,3.804,0.263,2022-05-04
PHP,52.427,0.019,2022-05-04
PLN,4.438,0.225,2022-05-04
SGD,1.382,0.724,2022-05-04
NZD,1.551,0.645,2022-05-04
AUD,1.409,0.71,2022-05-05
CAD,1.284,0.779,2022-05-05
CHF,0.987,1.013,2022-05-05
CNY,6.656,0.15,2022-05-05
EUR,0.952,1.051,2022-05-05
GBP,0.811,1.233,2022-05-05
HKD,7.85,0.127,2022-05-05
INR,76.567,0.013,2022-05-05
MXN,20.299,0.049,2022-05-05
PEN,3.781,0.264,2022-05-05
PHP,52.552,0.019,2022-05-05
PLN,4.464,0.224,2022-05-05
SGD,1.387,0.721,2022-05-05
NZD,1.561,0.641,2022-05-05
AUD,1.41,0.709,2022-05-06
CAD,1.289,0.776,2022-05-06
CHF,0.986,1.015,2022-05-06
CNY,6.667,0.15,2022-05-06
EUR,0.946,1.057,2022-05-06
GBP,0.81,1.235,2022-05-06
HKD,7.849,0.127,2022-05-06
INR,76.938,0.013,2022-05-06
MXN,20.105,0.05,2022-05-06
PEN,3.811,0.262,2022-05-06
PHP,52.419,0.019,2022-05-06
PLN,4.448,0.225,2022-05-06
SGD,1.384,0.722,2022-05-06
NZD,1.556,0.643,2022-05-06
AUD,1.413,0.708,2022-05-07
CAD,1.291,0.775,2022-05-07
CHF,0.989,1.011,2022-05-07
CNY,6.667,0.15,2022-05-07
EUR,0.948,1.055,2022-05-07
GBP,0.811,1.234,2022-05-07
HKD,7.85,0.127,2022-05-07
INR,76.967,0.013,2022-05-07
MXN,20.168,0.05,2022-05-07
PEN,3.805,0.263,2022-05-07
PHP,52.431,0.019,2022-05-07
PLN,4.467,0.224,2022-05-07
SGD,1.386,0.722,2022-05-07
NZD,1.56,0.641,2022-05-07
AUD,1.414,0.707,2022-05-08
CAD,1.289,0.776,2022-05-08
CHF,0.989,1.011,2022-05-08
CNY,6.667,0.15,2022-05-08
EUR,0.947,1.056,2022-05-08
GBP,0.81,1.234,2022-05-08
HKD,7.85,0.127,2022-05-08
INR,76.958,0.013,2022-05-08
MXN,20.184,0.05,2022-05-08
PEN,3.808,0.263,2022-05-08
PHP,52.436,0.019,2022-05-08
PLN,4.47,0.224,2022-05-08
SGD,1.385,0.722,2022-05-08
NZD,1.56,0.641,2022-05-08
AUD,1.431,0.699,2022-05-09
CAD,1.297,0.771,2022-05-09
CHF,0.993,1.007,2022-05-09
CNY,6.728,0.149,2022-05-09
EUR,0.947,1.056,2022-05-09
GBP,0.811,1.234,2022-05-09
HKD,7.85,0.127,2022-05-09
INR,77.435,0.013,2022-05-09
MXN,20.303,0.049,2022-05-09
PEN,3.831,0.261,2022-05-09
PHP,52.635,0.019,2022-05-09
PLN,4.445,0.225,2022-05-09
SGD,1.39,0.719,2022-05-09
NZD,1.576,0.635,2022-05-09
AUD,1.444,0.692,2022-05-10
CAD,1.303,0.767,2022-05-10
CHF,0.995,1.005,2022-05-10
CNY,6.734,0.149,2022-05-10
EUR,0.95,1.053,2022-05-10
GBP,0.812,1.231,2022-05-10
HKD,7.85,0.127,2022-05-10
INR,77.328,0.013,2022-05-10
MXN,20.409,0.049,2022-05-10
PEN,3.818,0.262,2022-05-10
PHP,52.397,0.019,2022-05-10
PLN,4.443,0.225,2022-05-10
SGD,1.391,0.719,2022-05-10
NZD,1.591,0.628,2022-05-10
AUD,1.431,0.699,2022-05-11
CAD,1.295,0.772,2022-05-11
CHF,0.991,1.009,2022-05-11
CNY,6.721,0.149,2022-05-11
EUR,0.949,1.053,2022-05-11
GBP,0.812,1.232,2022-05-11
HKD,7.85,0.127,2022-05-11
INR,77.27,0.013,2022-05-11
MXN,20.264,0.049,2022-05-11
PEN,3.771,0.265,2022-05-11
PHP,52.056,0.019,2022-05-11
PLN,4.432,0.226,2022-05-11
SGD,1.387,0.721,2022-05-11
NZD,1.578,0.634,2022-05-11
AUD,1.46,0.685,2022-05-12
CAD,1.306,0.766,2022-05-12
CHF,1.0,1.0,2022-05-12
CNY,6.788,0.147,2022-05-12
EUR,0.963,1.038,2022-05-12
GBP,0.82,1.22,2022-05-12
HKD,7.85,0.127,2022-05-12
INR,77.41,0.013,2022-05-12
MXN,20.311,0.049,2022-05-12
PEN,3.805,0.263,2022-05-12
PHP,52.399,0.019,2022-05-12
PLN,4.491,0.223,2022-05-12
SGD,1.397,0.716,2022-05-12
NZD,1.603,0.624,2022-05-12
AUD,1.445,0.692,2022-05-13
CAD,1.293,0.773,2022-05-13
CHF,1.001,0.999,2022-05-13
CNY,6.789,0.147,2022-05-13
EUR,0.961,1.041,2022-05-13
GBP,0.817,1.224,2022-05-13
HKD,7.85,0.127,2022-05-13
INR,77.434,0.013,2022-05-13
MXN,20.126,0.05,2022-05-13
PEN,3.778,0.265,2022-05-13
PHP,52.358,0.019,2022-05-13
PLN,4.51,0.222,2022-05-13
SGD,1.393,0.718,2022-05-13
NZD,1.597,0.626,2022-05-13
AUD,1.441,0.694,2022-05-14
CAD,1.291,0.774,2022-05-14
CHF,1.002,0.998,2022-05-14
CNY,6.789,0.147,2022-05-14
EUR,0.96,1.041,2022-05-14
GBP,0.815,1.226,2022-05-14
HKD,7.85,0.127,2022-05-14
INR,77.455,0.013,2022-05-14
MXN,20.105,0.05,2022-05-14
PEN,3.778,0.265,2022-05-14
PHP,52.455,0.019,2022-05-14
PLN,4.497,0.222,2022-05-14
SGD,1.392,0.718,2022-05-14
NZD,1.592,0.628,2022-05-14
AUD,1.44,0.695,2022-05-15
CAD,1.291,0.775,2022-05-15
CHF,1.002,0.998,2022-05-15
CNY,6.788,0.147,2022-05-15
EUR,0.96,1.042,2022-05-15
GBP,0.815,1.226,2022-05-15
HKD,7.85,0.127,2022-05-15
INR,77.494,0.013,2022-05-15
MXN,20.104,0.05,2022-05-15
PEN,3.778,0.265,2022-05-15
PHP,52.388,0.019,2022-05-15
PLN,4.496,0.222,2022-05-15
SGD,1.391,0.719,2022-05-15
NZD,1.595,0.627,2022-05-15
AUD,1.44,0.694,2022-05-16
CAD,1.288,0.776,2022-05-16
CHF,1.003,0.997,2022-05-16
CNY,6.783,0.147,2022-05-16
EUR,0.96,1.042,2022-05-16
GBP,0.815,1.227,2022-05-16
HKD,7.85,0.127,2022-05-16
INR,77.845,0.013,2022-05-16
MXN,20.06,0.05,2022-05-16
PEN,3.776,0.265,2022-05-16
PHP,52.517,0.019,2022-05-16
PLN,4.475,0.223,2022-05-16
SGD,1.394,0.717,2022-05-16
NZD,1.591,0.628,2022-05-16
AUD,1.426,0.701,2022-05-17
CAD,1.284,0.779,2022-05-17
CHF,0.993,1.007,2022-05-17
CNY,6.738,0.148,2022-05-17
EUR,0.949,1.053,2022-05-17
GBP,0.802,1.247,2022-05-17
HKD,7.85,0.127,2022-05-17
INR,77.485,0.013,2022-05-17
MXN,19.974,0.05,2022-05-17
PEN,3.762,0.266,2022-05-17
PHP,52.393,0.019,2022-05-17
PLN,4.417,0.226,2022-05-17
SGD,1.385,0.722,2022-05-17
NZD,1.574,0.635,2022-05-17
AUD,1.428,0.7,2022-05-18
CAD,1.284,0.779,2022-05-18
CHF,0.99,1.01,2022-05-18
CNY,6.754,0.148,2022-05-18
EUR,0.952,1.05,2022-05-18
GBP,0.807,1.24,2022-05-18
HKD,7.848,0.127,2022-05-18
INR,77.724,0.013,2022-05-18
MXN,19.986,0.05,2022-05-18
PEN,3.766,0.266,2022-05-18
PHP,52.378,0.019,2022-05-18
PLN,4.424,0.226,2022-05-18
SGD,1.387,0.721,2022-05-18
NZD,1.579,0.633,2022-05-18
AUD,1.417,0.706,2022-05-19
CAD,1.282,0.78,2022-05-19
CHF,0.973,1.028,2022-05-19
CNY,6.711,0.149,2022-05-19
EUR,0.945,1.058,2022-05-19
GBP,0.8,1.25,2022-05-19
HKD,7.847,0.127,2022-05-19
INR,77.469,0.013,2022-05-19
MXN,19.927,0.05,2022-05-19
PEN,3.754,0.266,2022-05-19
PHP,52.209,0.019,2022-05-19
PLN,4.397,0.227,2022-05-19
SGD,1.379,0.725,2022-05-19
NZD,1.563,0.64,2022-05-19
AUD,1.422,0.703,2022-05-20
CAD,1.283,0.779,2022-05-20
CHF,0.975,1.026,2022-05-20
CNY,6.693,0.149,2022-05-20
EUR,0.947,1.056,2022-05-20
GBP,0.8,1.249,2022-05-20
HKD,7.849,0.127,2022-05-20
INR,77.81,0.013,2022-05-20
MXN,19.866,0.05,2022-05-20
PEN,3.731,0.268,2022-05-20
PHP,52.269,0.019,2022-05-20
PLN,4.382,0.228,2022-05-20
SGD,1.38,0.724,2022-05-20
NZD,1.566,0.639,2022-05-20
AUD,1.421,0.704,2022-05-21
CAD,1.283,0.78,2022-05-21
CHF,0.975,1.026,2022-05-21
CNY,6.693,0.149,2022-05-21
EUR,0.947,1.056,2022-05-21
GBP,0.801,1.249,2022-05-21
HKD,7.848,0.127,2022-05-21
INR,77.871,0.013,2022-05-21
MXN,19.862,0.05,2022-05-21
PEN,3.73,0.268,2022-05-21
PHP,52.224,0.019,2022-05-21
PLN,4.381,0.228,2022-05-21
SGD,1.38,0.725,2022-05-21
NZD,1.561,0.641,2022-05-21
AUD,1.42,0.704,2022-05-22
CAD,1.283,0.779,2022-05-22
CHF,0.975,1.026,2022-05-22
CNY,6.693,0.149,2022-05-22
EUR,0.947,1.056,2022-05-22
GBP,0.801,1.249,2022-05-22
HKD,7.848,0.127,2022-05-22
INR,77.845,0.013,2022-05-22
MXN,19.858,0.05,2022-05-22
PEN,3.73,0.268,2022-05-22
PHP,52.222,0.019,2022-05-22
PLN,4.383,0.228,2022-05-22
SGD,1.38,0.725,2022-05-22
NZD,1.563,0.64,2022-05-22
AUD,1.408,0.71,2022-05-23
CAD,1.278,0.782,2022-05-23
CHF,0.966,1.035,2022-05-23
CNY,6.65,0.15,2022-05-23
EUR,0.937,1.067,2022-05-23
GBP,0.795,1.257,2022-05-23
HKD,7.85,0.127,2022-05-23
INR,77.511,0.013,2022-05-23
MXN,19.824,0.05,2022-05-23
PEN,3.719,0.269,2022-05-23
PHP,52.242,0.019,2022-05-23
PLN,4.321,0.231,2022-05-23
SGD,1.374,0.728,2022-05-23
NZD,1.547,0.646,2022-05-23
AUD,1.412,0.708,2022-05-24
CAD,1.284,0.779,2022-05-24
CHF,0.96,1.042,2022-05-24
CNY,6.653,0.15,2022-05-24
EUR,0.931,1.074,2022-05-24
GBP,0.798,1.254,2022-05-24
HKD,7.849,0.127,2022-05-24
INR,77.522,0.013,2022-05-24
MXN,19.88,0.05,2022-05-24
PEN,3.721,0.269,2022-05-24
PHP,52.327,0.019,2022-05-24
PLN,4.285,0.233,2022-05-24
SGD,1.372,0.729,2022-05-24
NZD,1.552,0.644,2022-05-24
AUD,1.415,0.707,2022-05-25
CAD,1.284,0.779,2022-05-25
CHF,0.963,1.038,2022-05-25
CNY,6.693,0.149,2022-05-25
EUR,0.938,1.066,2022-05-25
GBP,0.797,1.254,2022-05-25
HKD,7.85,0.127,2022-05-25
INR,77.587,0.013,2022-05-25
MXN,19.838,0.05,2022-05-25
PEN,3.694,0.271,2022-05-25
PHP,52.367,0.019,2022-05-25
PLN,4.326,0.231,2022-05-25
SGD,1.377,0.726,2022-05-25
NZD,1.548,0.646,2022-05-25
AUD,1.413,0.708,2022-05-26
CAD,1.279,0.782,2022-05-26
CHF,0.96,1.042,2022-05-26
CNY,6.739,0.148,2022-05-26
EUR,0.932,1.072,2022-05-26
GBP,0.795,1.258,2022-05-26
HKD,7.85,0.127,2022-05-26
INR,77.677,0.013,2022-05-26
MXN,19.797,0.051,2022-05-26
PEN,3.672,0.272,2022-05-26
PHP,52.328,0.019,2022-05-26
PLN,4.292,0.233,2022-05-26
SGD,1.374,0.728,2022-05-26
NZD,1.547,0.646,2022-05-26
AUD,1.398,0.715,2022-05-27
CAD,1.274,0.785,2022-05-27
CHF,0.958,1.044,2022-05-27
CNY,6.699,0.149,2022-05-27
EUR,0.934,1.071,2022-05-27
GBP,0.793,1.261,2022-05-27
HKD,7.85,0.127,2022-05-27
INR,77.602,0.013,2022-05-27
MXN,19.582,0.051,2022-05-27
PEN,3.66,0.273,2022-05-27
PHP,52.201,0.019,2022-05-27
PLN,4.266,0.234,2022-05-27
SGD,1.369,0.73,2022-05-27
NZD,1.531,0.653,2022-05-27
AUD,1.396,0.716,2022-05-28
CAD,1.272,0.786,2022-05-28
CHF,0.958,1.044,2022-05-28
CNY,6.699,0.149,2022-05-28
EUR,0.932,1.074,2022-05-28
GBP,0.792,1.263,2022-05-28
HKD,7.849,0.127,2022-05-28
INR,77.6,0.013,2022-05-28
MXN,19.581,0.051,2022-05-28
PEN,3.673,0.272,2022-05-28
PHP,52.329,0.019,2022-05-28
PLN,4.259,0.235,2022-05-28
SGD,1.371,0.729,2022-05-28
NZD,1.53,0.654,2022-05-28
AUD,1.397,0.716,2022-05-29
CAD,1.273,0.786,2022-05-29
CHF,0.957,1.045,2022-05-29
CNY,6.698,0.149,2022-05-29
EUR,0.932,1.073,2022-05-29
GBP,0.792,1.263,2022-05-29
HKD,7.849,0.127,2022-05-29
INR,77.645,0.013,2022-05-29
MXN,19.581,0.051,2022-05-29
PEN,3.673,0.272,2022-05-29
PHP,52.329,0.019,2022-05-29
PLN,4.259,0.235,2022-05-29
SGD,1.374,0.728,2022-05-29
NZD,1.531,0.653,2022-05-29
AUD,1.389,0.72,2022-05-30
CAD,1.266,0.79,2022-05-30
CHF,0.957,1.044,2022-05-30
CNY,6.661,0.15,2022-05-30
EUR,0.928,1.078,2022-05-30
GBP,0.79,1.266,2022-05-30
HKD,7.849,0.127,2022-05-30
INR,77.558,0.013,2022-05-30
MXN,19.497,0.051,2022-05-30
PEN,3.674,0.272,2022-05-30
PHP,52.36,0.019,2022-05-30
PLN,4.256,0.235,2022-05-30
SGD,1.367,0.732,2022-05-30
NZD,1.525,0.656,2022-05-30
AUD,1.393,0.718,2022-05-31
CAD,1.266,0.79,2022-05-31
CHF,0.96,1.042,2022-05-31
CNY,6.671,0.15,2022-05-31
EUR,0.932,1.073,2022-05-31
GBP,0.793,1.261,2022-05-31
HKD,7.847,0.127,2022-05-31
INR,77.633,0.013,2022-05-31
MXN,19.689,0.051,2022-05-31
PEN,3.686,0.271,2022-05-31
PHP,52.503,0.019,2022-05-31
PLN,4.269,0.234,2022-05-31
SGD,1.37,0.73,2022-05-31
NZD,1.534,0.652,2022-05-31
AUD,1.396,0.716,2022-06-01
CAD,1.267,0.789,2022-06-01
CHF,0.965,1.037,2022-06-01
CNY,6.687,0.15,2022-06-01
EUR,0.94,1.064,2022-06-01
GBP,0.802,1.247,2022-06-01
HKD,7.848,0.127,2022-06-01
INR,77.608,0.013,2022-06-01
MXN,19.756,0.051,2022-06-01
PEN,3.722,0.269,2022-06-01
PHP,52.497,0.019,2022-06-01
PLN,4.315,0.232,2022-06-01
SGD,1.375,0.727,2022-06-01
NZD,1.546,0.647,2022-06-01
AUD,1.379,0.725,2022-06-02
CAD,1.259,0.794,2022-06-02
CHF,0.959,1.042,2022-06-02
CNY,6.66,0.15,2022-06-02
EUR,0.932,1.073,2022-06-02
GBP,0.796,1.256,2022-06-02
HKD,7.845,0.127,2022-06-02
INR,77.414,0.013,2022-06-02
MXN,19.55,0.051,2022-06-02
PEN,3.712,0.269,2022-06-02
PHP,52.787,0.019,2022-06-02
PLN,4.261,0.235,2022-06-02
SGD,1.372,0.729,2022-06-02
NZD,1.527,0.655,2022-06-02
AUD,1.387,0.721,2022-06-03
CAD,1.258,0.795,2022-06-03
CHF,0.964,1.038,2022-06-03
CNY,6.661,0.15,2022-06-03
EUR,0.933,1.071,2022-06-03
GBP,0.8,1.25,2022-06-03
HKD,7.846,0.127,2022-06-03
INR,77.676,0.013,2022-06-03
MXN,19.604,0.051,2022-06-03
PEN,3.705,0.27,2022-06-03
PHP,52.956,0.019,2022-06-03
PLN,4.287,0.233,2022-06-03
SGD,1.376,0.727,2022-06-03
NZD,1.537,0.651,2022-06-03
AUD,1.388,0.721,2022-06-04
CAD,1.259,0.794,2022-06-04
CHF,0.962,1.039,2022-06-04
CNY,6.66,0.15,2022-06-04
EUR,0.933,1.072,2022-06-04
GBP,0.801,1.249,2022-06-04
HKD,7.845,0.127,2022-06-04
INR,77.635,0.013,2022-06-04
MXN,19.553,0.051,2022-06-04
PEN,3.699,0.27,2022-06-04
PHP,52.93,0.019,2022-06-04
PLN,4.279,0.234,2022-06-04
SGD,1.375,0.727,2022-06-04
NZD,1.534,0.652,2022-06-04
AUD,1.386,0.721,2022-06-05
CAD,1.26,0.793,2022-06-05
CHF,0.962,1.04,2022-06-05
CNY,6.66,0.15,2022-06-05
EUR,0.933,1.072,2022-06-05
GBP,0.801,1.249,2022-06-05
HKD,7.845,0.127,2022-06-05
INR,77.63,0.013,2022-06-05
MXN,19.56,0.051,2022-06-05
PEN,3.699,0.27,2022-06-05
PHP,52.93,0.019,2022-06-05
PLN,4.276,0.234,2022-06-05
SGD,1.374,0.728,2022-06-05
NZD,1.523,0.657,2022-06-05
AUD,1.388,0.721,2022-06-06
CAD,1.257,0.796,2022-06-06
CHF,0.969,1.032,2022-06-06
CNY,6.653,0.15,2022-06-06
EUR,0.935,1.07,2022-06-06
GBP,0.797,1.254,2022-06-06
HKD,7.845,0.127,2022-06-06
INR,77.812,0.013,2022-06-06
MXN,19.596,0.051,2022-06-06
PEN,3.72,0.269,2022-06-06
PHP,52.869,0.019,2022-06-06
PLN,4.288,0.233,2022-06-06
SGD,1.376,0.727,2022-06-06
NZD,1.539,0.65,2022-06-06
AUD,1.387,0.721,2022-06-07
CAD,1.255,0.797,2022-06-07
CHF,0.973,1.028,2022-06-07
CNY,6.668,0.15,2022-06-07
EUR,0.935,1.07,2022-06-07
GBP,0.794,1.259,2022-06-07
HKD,7.846,0.127,2022-06-07
INR,77.67,0.013,2022-06-07
MXN,19.603,0.051,2022-06-07
PEN,3.747,0.267,2022-06-07
PHP,52.853,0.019,2022-06-07
PLN,4.284,0.233,2022-06-07
SGD,1.375,0.727,2022-06-07
NZD,1.545,0.647,2022-06-07
AUD,1.385,0.722,2022-06-08
CAD,1.252,0.799,2022-06-08
CHF,0.975,1.026,2022-06-08
CNY,6.684,0.15,2022-06-08
EUR,0.931,1.074,2022-06-08
GBP,0.796,1.256,2022-06-08
HKD,7.848,0.127,2022-06-08
INR,77.641,0.013,2022-06-08
MXN,19.569,0.051,2022-06-08
PEN,3.748,0.267,2022-06-08
PHP,52.975,0.019,2022-06-08
PLN,4.271,0.234,2022-06-08
SGD,1.375,0.727,2022-06-08
NZD,1.546,0.647,2022-06-08
AUD,1.404,0.712,2022-06-09
CAD,1.265,0.79,2022-06-09
CHF,0.978,1.023,2022-06-09
CNY,6.693,0.149,2022-06-09
EUR,0.938,1.066,2022-06-09
GBP,0.799,1.252,2022-06-09
HKD,7.849,0.127,2022-06-09
INR,77.854,0.013,2022-06-09
MXN,19.618,0.051,2022-06-09
PEN,3.758,0.266,2022-06-09
PHP,52.969,0.019,2022-06-09
PLN,4.315,0.232,2022-06-09
SGD,1.381,0.724,2022-06-09
NZD,1.561,0.641,2022-06-09
AUD,1.418,0.705,2022-06-10
CAD,1.279,0.782,2022-06-10
CHF,0.989,1.011,2022-06-10
CNY,6.709,0.149,2022-06-10
EUR,0.951,1.052,2022-06-10
GBP,0.811,1.233,2022-06-10
HKD,7.849,0.127,2022-06-10
INR,78.099,0.013,2022-06-10
MXN,19.919,0.05,2022-06-10
PEN,3.774,0.265,2022-06-10
PHP,53.087,0.019,2022-06-10
PLN,4.388,0.228,2022-06-10
SGD,1.387,0.721,2022-06-10
NZD,1.572,0.636,2022-06-10
AUD,1.414,0.707,2022-06-11
CAD,1.278,0.782,2022-06-11
CHF,0.987,1.013,2022-06-11
CNY,6.709,0.149,2022-06-11
EUR,0.951,1.052,2022-06-11
GBP,0.812,1.232,2022-06-11
HKD,7.85,0.127,2022-06-11
INR,78.133,0.013,2022-06-11
MXN,19.915,0.05,2022-06-11
PEN,3.759,0.266,2022-06-11
PHP,53.072,0.019,2022-06-11
PLN,4.38,0.228,2022-06-11
SGD,1.388,0.721,2022-06-11
NZD,1.572,0.636,2022-06-11
AUD,1.417,0.706,2022-06-12
CAD,1.278,0.782,2022-06-12
CHF,0.988,1.012,2022-06-12
CNY,6.709,0.149,2022-06-12
EUR,0.95,1.052,2022-06-12
GBP,0.812,1.232,2022-06-12
HKD,7.85,0.127,2022-06-12
INR,78.139,0.013,2022-06-12
MXN,19.961,0.05,2022-06-12
PEN,3.757,0.266,2022-06-12
PHP,53.077,0.019,2022-06-12
PLN,4.378,0.228,2022-06-12
SGD,1.388,0.721,2022-06-12
NZD,1.57,0.637,2022-06-12
AUD,1.44,0.694,2022-06-13
CAD,1.286,0.778,2022-06-13
CHF,0.997,1.003,2022-06-13
CNY,6.754,0.148,2022-06-13
EUR,0.959,1.043,2022-06-13
GBP,0.822,1.217,2022-06-13
HKD,7.85,0.127,2022-06-13
INR,78.118,0.013,2022-06-13
MXN,20.418,0.049,2022-06-13
PEN,3.792,0.264,2022-06-13
PHP,53.336,0.019,2022-06-13
PLN,4.46,0.224,2022-06-13
SGD,1.392,0.718,2022-06-13
NZD,1.594,0.627,2022-06-13
AUD,1.448,0.691,2022-06-14
CAD,1.293,0.774,2022-06-14
CHF,1.001,0.999,2022-06-14
CNY,6.74,0.148,2022-06-14
EUR,0.96,1.042,2022-06-14
GBP,0.831,1.204,2022-06-14
HKD,7.85,0.127,2022-06-14
INR,78.03,0.013,2022-06-14
MXN,20.633,0.048,2022-06-14
PEN,3.747,0.267,2022-06-14
PHP,53.284,0.019,2022-06-14
PLN,4.468,0.224,2022-06-14
SGD,1.393,0.718,2022-06-14
NZD,1.603,0.624,2022-06-14
AUD,1.44,0.695,2022-06-15
CAD,1.297,0.771,2022-06-15
CHF,1.002,0.998,2022-06-15
CNY,6.714,0.149,2022-06-15
EUR,0.963,1.039,2022-06-15
GBP,0.829,1.206,2022-06-15
HKD,7.85,0.127,2022-06-15
INR,78.14,0.013,2022-06-15
MXN,20.662,0.048,2022-06-15
PEN,3.756,0.266,2022-06-15
PHP,53.318,0.019,2022-06-15
PLN,4.501,0.222,2022-06-15
SGD,1.393,0.718,2022-06-15
NZD,1.602,0.624,2022-06-15
AUD,1.43,0.699,2022-06-16
CAD,1.293,0.774,2022-06-16
CHF,0.967,1.035,2022-06-16
CNY,6.703,0.149,2022-06-16
EUR,0.95,1.052,2022-06-16
GBP,0.811,1.234,2022-06-16
HKD,7.85,0.127,2022-06-16
INR,78.013,0.013,2022-06-16
MXN,20.558,0.049,2022-06-16
PEN,3.727,0.268,2022-06-16
PHP,53.509,0.019,2022-06-16
PLN,4.492,0.223,2022-06-16
SGD,1.384,0.722,2022-06-16
NZD,1.578,0.634,2022-06-16
AUD,1.445,0.692,2022-06-17
CAD,1.305,0.766,2022-06-17
CHF,0.972,1.029,2022-06-17
CNY,6.717,0.149,2022-06-17
EUR,0.955,1.047,2022-06-17
GBP,0.82,1.22,2022-06-17
HKD,7.85,0.127,2022-06-17
INR,78.025,0.013,2022-06-17
MXN,20.437,0.049,2022-06-17
PEN,3.709,0.27,2022-06-17
PHP,53.74,0.019,2022-06-17
PLN,4.478,0.223,2022-06-17
SGD,1.39,0.719,2022-06-17
NZD,1.59,0.629,2022-06-17
AUD,1.44,0.695,2022-06-18
CAD,1.303,0.767,2022-06-18
CHF,0.971,1.03,2022-06-18
CNY,6.712,0.149,2022-06-18
EUR,0.953,1.05,2022-06-18
GBP,0.818,1.223,2022-06-18
HKD,7.85,0.127,2022-06-18
INR,77.95,0.013,2022-06-18
MXN,20.377,0.049,2022-06-18
PEN,3.713,0.269,2022-06-18
PHP,53.77,0.019,2022-06-18
PLN,4.454,0.225,2022-06-18
SGD,1.391,0.719,2022-06-18
NZD,1.584,0.631,2022-06-18
AUD,1.438,0.696,2022-06-19
CAD,1.307,0.765,2022-06-19
CHF,0.971,1.03,2022-06-19
CNY,6.712,0.149,2022-06-19
EUR,0.955,1.048,2022-06-19
GBP,0.818,1.223,2022-06-19
HKD,7.85,0.127,2022-06-19
INR,77.949,0.013,2022-06-19
MXN,20.474,0.049,2022-06-19
PEN,3.711,0.269,2022-06-19
PHP,53.769,0.019,2022-06-19
PLN,4.453,0.225,2022-06-19
SGD,1.391,0.719,2022-06-19
NZD,1.584,0.631,2022-06-19
AUD,1.433,0.698,2022-06-20
CAD,1.298,0.77,2022-06-20
CHF,0.966,1.035,2022-06-20
CNY,6.692,0.149,2022-06-20
EUR,0.949,1.054,2022-06-20
GBP,0.816,1.225,2022-06-20
HKD,7.85,0.127,2022-06-20
INR,77.92,0.013,2022-06-20
MXN,20.239,0.049,2022-06-20
PEN,3.718,0.269,2022-06-20
PHP,54.112,0.018,2022-06-20
PLN,4.414,0.227,2022-06-20
SGD,1.388,0.721,2022-06-20
NZD,1.576,0.635,2022-06-20
AUD,1.434,0.697,2022-06-21
CAD,1.293,0.774,2022-06-21
CHF,0.966,1.035,2022-06-21
CNY,6.69,0.149,2022-06-21
EUR,0.948,1.055,2022-06-21
GBP,0.815,1.228,2022-06-21
HKD,7.85,0.127,2022-06-21
INR,78.096,0.013,2022-06-21
MXN,20.195,0.05,2022-06-21
PEN,3.721,0.269,2022-06-21
PHP,54.242,0.018,2022-06-21
PLN,4.396,0.227,2022-06-21
SGD,1.385,0.722,2022-06-21
NZD,1.576,0.635,2022-06-21
AUD,1.442,0.693,2022-06-22
CAD,1.293,0.773,2022-06-22
CHF,0.962,1.04,2022-06-22
CNY,6.702,0.149,2022-06-22
EUR,0.945,1.058,2022-06-22
GBP,0.814,1.228,2022-06-22
HKD,7.85,0.127,2022-06-22
INR,78.249,0.013,2022-06-22
MXN,20.046,0.05,2022-06-22
PEN,3.728,0.268,2022-06-22
PHP,54.341,0.018,2022-06-22
PLN,4.438,0.225,2022-06-22
SGD,1.387,0.721,2022-06-22
NZD,1.589,0.629,2022-06-22
AUD,1.45,0.69,2022-06-23
CAD,1.298,0.77,2022-06-23
CHF,0.961,1.041,2022-06-23
CNY,6.698,0.149,2022-06-23
EUR,0.952,1.051,2022-06-23
GBP,0.817,1.224,2022-06-23
HKD,7.849,0.127,2022-06-23
INR,78.146,0.013,2022-06-23
MXN,20.018,0.05,2022-06-23
PEN,3.744,0.267,2022-06-23
PHP,54.573,0.018,2022-06-23
PLN,4.478,0.223,2022-06-23
SGD,1.39,0.719,2022-06-23
NZD,1.592,0.628,2022-06-23
AUD,1.44,0.695,2022-06-24
CAD,1.292,0.774,2022-06-24
CHF,0.957,1.045,2022-06-24
CNY,6.69,0.149,2022-06-24
EUR,0.949,1.054,2022-06-24
GBP,0.815,1.227,2022-06-24
HKD,7.849,0.127,2022-06-24
INR,78.264,0.013,2022-06-24
MXN,19.909,0.05,2022-06-24
PEN,3.769,0.265,2022-06-24
PHP,54.911,0.018,2022-06-24
PLN,4.45,0.225,2022-06-24
SGD,1.387,0.721,2022-06-24
NZD,1.583,0.632,2022-06-24
AUD,1.44,0.694,2022-06-25
CAD,1.29,0.775,2022-06-25
CHF,0.959,1.043,2022-06-25
CNY,6.691,0.149,2022-06-25
